Bill Number,Title,Summary,Sponsor,Cosponsors (Overview),Cosponsor List,Introduced,Status,Prognosis,Source URL,Committees,Vote Type,Vote Date,Vote Result,Related Bills,Subjects
HRES373,H.Res. 373 (118th): Expressing support for the designation of May 9 as “Home Front Heroes Day”.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Colin Allred,Cosponsors,"Allred, Colin [D-TX32, 2019-2024], Mooney, Alexander [R-WV2, 2015-2024]","May 9, 2023 118 th Congress (2023–2025)","Introduced (May 09, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres373,House Oversight and Government Reform,,Introduced,"Last Action: May 6, 2022",", H.Res. 1088 (117th)","Government Operations and Politics, Commemorative events and holidays, Congressional tributes, Military personnel and dependents"
HRES374,H.Res. 374 (118th): Supports the designation of “ALS Awareness Month”.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Jason Crow,Cosponsors,"Crow, Jason [D-CO6, 2019-2026], Trahan, Lori [D-MA3, 2019-2026], Bacon, Don [R-NE2, 2017-2026], Calvert, Ken [R-CA41, 2023-2026], Fitzpatrick, Brian [R-PA1, 2019-2026], Lee, Susie [D-NV3, 2019-2026], Quigley, Mike [D-IL5, 2009-2026], Sewell, Terri [D-AL7, 2011-2026], Allred, Colin [D-TX32, 2019-2024], Morelle, Joseph [D-NY25, 2018-2026], Nadler, Jerrold [D-NY12, 2023-2026], Frost, Maxwell [D-FL10, 2023-2026]","May 9, 2023 118 th Congress (2023–2025)","Introduced (May 09, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres374,"House Energy and Commerce, ↪, Health",,Introduced,"Last Action: May 25, 2021",", H.Res. 434 (117th)","Health, Commemorative events and holidays, Congressional tributes, Health promotion and preventive care, show 2 more, Medical research, Neurological disorders, show less"
HRES375,"H.Res. 375 (118th): Supporting the goals and ideals of National Nurses Week, to be observed from May 6 through May 12, 2023.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",David Joyce,Cosponsors,"Joyce, David [R-OH14, 2013-2026], Armstrong, Kelly [R-ND, 2019-2024], Bacon, Don [R-NE2, 2017-2026], Blunt Rochester, Lisa [D-DE, 2017-2024], Bonamici, Suzanne [D-OR1, 2012-2026], Cleaver, Emanuel [D-MO5, 2005-2026], Cohen, Steve [D-TN9, 2007-2026], Fitzpatrick, Brian [R-PA1, 2019-2026], Grijalva, Raúl [D-AZ7, 2023-2026], Higgins, Brian [D-NY26, 2013-2024], Kiggans, Jennifer [R-VA2, 2023-2026], Lynch, Stephen [D-MA8, 2013-2026], Pascrell, Bill [D-NJ9, 2013-2024], Payne, Donald [D-NJ10, 2012-2024], Underwood, Lauren [D-IL14, 2019-2026], Steil, Bryan [R-WI1, 2019-2026], Wilson, Joe [R-SC2, 2001-2026], Lawler, Michael [R-NY17, 2023-2026]","May 9, 2023 118 th Congress (2023–2025)","Introduced (May 09, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres375,"House Energy and Commerce, ↪, Health",,Introduced,"Last Action: May 9, 2023",", S.Res. 201","Health, Commemorative events and holidays, Congressional tributes, Health personnel, show 1 more, Nursing, show less"
HRES376,H.Res. 376 (118th): Expressing the sense of the House of Representatives that the United States Postal Service should take all appropriate measures to ensure the continuation of door delivery for all business and residential customers.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",David Joyce,Cosponsors,"Joyce, David [R-OH14, 2013-2026], Krishnamoorthi, Raja [D-IL8, 2017-2026], Turner, Michael [R-OH10, 2013-2026], Grothman, Glenn [R-WI6, 2015-2026], Bacon, Don [R-NE2, 2017-2026], Bishop, Sanford [D-GA2, 1993-2026], Case, Ed [D-HI1, 2019-2026], Costa, Jim [D-CA21, 2023-2026], Craig, Angie [D-MN2, 2019-2026], Cárdenas, Tony [D-CA29, 2013-2024], Fitzpatrick, Brian [R-PA1, 2019-2026], Garamendi, John [D-CA8, 2023-2026], Hayes, Jahana [D-CT5, 2019-2026], Meng, Grace [D-NY6, 2013-2026], Payne, Donald [D-NJ10, 2012-2024], Smith, Christopher “Chris” [R-NJ4, 1981-2026], Tenney, Claudia [R-NY24, 2023-2026], Tokuda, Jill [D-HI2, 2023-2026], Valadao, David [R-CA22, 2023-2026], Wexton, Jennifer [D-VA10, 2019-2024], Garbarino, Andrew [R-NY2, 2021-2026], Bost, Mike [R-IL12, 2015-2026], Molinaro, Marcus [R-NY19, 2023-2024], Thompson, Glenn [R-PA15, 2019-2026], Schakowsky, Janice “Jan” [D-IL9, 1999-2026], Crow, Jason [D-CO6, 2019-2026], Kim, Andy [D-NJ3, 2019-2024], Sherrill, Mikie [D-NJ11, 2019-2026], Caraveo, Yadira [D-CO8, 2023-2024], Landsman, Greg [D-OH1, 2023-2026], Zinke, Ryan [R-MT1, 2023-2026], Reschenthaler, Guy [R-PA14, 2019-2026], LaLota, Nicolas [R-NY1, 2023-2026], Joyce, John [R-PA13, 2019-2026], Sorensen, Eric [D-IL17, 2023-2026], Slotkin, Elissa [D-MI7, 2023-2024], Doggett, Lloyd [D-TX37, 2023-2026], Stevens, Haley [D-MI11, 2019-2026], Norcross, Donald [D-NJ1, 2014-2026], Porter, Katie [D-CA47, 2023-2024], Malliotakis, Nicole [R-NY11, 2021-2026], Cartwright, Matthew “Matt” [D-PA8, 2019-2024], Deluzio, Chris [D-PA17, 2023-2026], Goldman, Dan [D-NY10, 2023-2026], Wild, Susan [D-PA7, 2019-2024], Clarke, Yvette [D-NY9, 2013-2026], Williams, Brandon [R-NY22, 2023-2024], Barragán, Nanette [D-CA44, 2017-2026], García, Jesús “Chuy” [D-IL4, 2019-2026], Lawler, Michael [R-NY17, 2023-2026], D'Esposito, Anthony [R-NY4, 2023-2024], Budzinski, Nicole (Nikki) [D-IL13, 2023-2026], Tonko, Paul [D-NY20, 2013-2026], Jacobs, Sara [D-CA51, 2023-2026], McGarvey, Morgan [D-KY3, 2023-2026], DelBene, Suzan [D-WA1, 2012-2026], LaHood, Darin [R-IL16, 2023-2026], Hoyle, Valerie [D-OR4, 2023-2026]","May 9, 2023 118 th Congress (2023–2025)","Introduced (May 09, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres376,House Oversight and Government Reform,Government Operations and Politics,N/A,N/A,N/A,"Government Operations and Politics, Administrative law and regulatory procedures, Postal service, U.S. Postal Service"
HRES377,"H.Res. 377 (118th): Calling for the immediate release of Evan Gershkovich, a United States citizen and journalist, who was wrongfully detained by the Government of the Russian Federation in March 2023.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Michael McCaul,Cosponsors,"McCaul, Michael [R-TX10, 2005-2026], Meeks, Gregory [D-NY5, 2013-2026], Kean, Thomas [R-NJ7, 2023-2026], Keating, William R. [D-MA9, 2013-2026], Bera, Ami [D-CA6, 2023-2026], Castro, Joaquin [D-TX20, 2013-2026], Costa, Jim [D-CA21, 2023-2026], Jackson, Ronny [R-TX13, 2021-2026], Kamlager-Dove, Sydney [D-CA37, 2023-2026], Mills, Cory [R-FL7, 2023-2026], Radewagen, Aumua Amata [R-AS, 2015-2026], Salazar, Maria [R-FL27, 2021-2026], Self, Keith [R-TX3, 2023-2026], Sherman, Brad [D-CA32, 2023-2026], Smith, Christopher “Chris” [R-NJ4, 1981-2026], Stanton, Greg [D-AZ4, 2023-2026], Titus, Dina [D-NV1, 2013-2026], Wilson, Joe [R-SC2, 2001-2026], Lawler, Michael [R-NY17, 2023-2026], Allred, Colin [D-TX32, 2019-2024], Buck, Ken [R-CO4, 2015-2024], Dean, Madeleine [D-PA4, 2019-2026], Doggett, Lloyd [D-TX37, 2023-2026], Gottheimer, Josh [D-NJ5, 2017-2026], Hill, French [R-AR2, 2015-2026], Manning, Kathy [D-NC6, 2021-2024], Moran, Nathaniel [R-TX1, 2023-2026], Phillips, Dean [D-MN3, 2019-2024], Reschenthaler, Guy [R-PA14, 2019-2026], Schneider, Bradley “Brad” [D-IL10, 2017-2026], Stevens, Haley [D-MI11, 2019-2026], Waltz, Michael [R-FL6, 2019-2025], Watson Coleman, Bonnie [D-NJ12, 2015-2026], Kim, Andy [D-NJ3, 2019-2024], Crow, Jason [D-CO6, 2019-2026], Jackson, Jeffrey [D-NC14, 2023-2024], Porter, Katie [D-CA47, 2023-2024], Schiff, Adam [D-CA30, 2023-2024]","May 9, 2023 118 th Congress (2023–2025)","Agreed To (Jun 13, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres377,House Foreign Affairs,House Vote on Passage,"On Motion to Suspend the Rules and Agree, as Amended","Jun 13, 2023 6:12 p.m.",", S.Res. 385","International Affairs, Criminal investigation, prosecution, interrogation, Detention of persons, Diplomacy, foreign officials, Americans abroad, show 5 more, Due process and equal protection, Europe, Human rights, News media and reporting, Russia, show less"
HRES378,H.Res. 378 (118th): Expressing the sense of the House of Representatives supporting the Federal workforce.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Eleanor Holmes Norton,Cosponsors,"Norton, Eleanor [D-DC, 1991-2026], Mfume, Kweisi [D-MD7, 2020-2026]","May 9, 2023 118 th Congress (2023–2025)","Introduced (May 09, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres378,House Oversight and Government Reform,,Introduced,"Last Action: May 4, 2021",", H.Res. 370 (117th)",Government Operations and Politics
HRES379,"H.Res. 379 (118th): Expressing support for the designation of May 6, 2023, as “National Sport Brain Health Day”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Bill Pascrell,Cosponsors,"Pascrell, Bill [D-NJ9, 2013-2024], Bacon, Don [R-NE2, 2017-2026]","May 9, 2023 118 th Congress (2023–2025)","Introduced (May 09, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres379,"House Energy and Commerce, ↪, Health",Health,N/A,N/A,N/A,"Health, Athletes, Commemorative events and holidays, Neurological disorders"
HRES380,"H.Res. 380 (118th): Encouraging the United States Holocaust Memorial Museum to continue its critical work, in person and online, in educating the public about the dangers of antisemitism and the origins of the Holocaust.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Bradley “Brad” Schneider,Cosponsors,"Schneider, Bradley “Brad” [D-IL10, 2017-2026], Brownley, Julia [D-CA26, 2013-2026], Grijalva, Raúl [D-AZ7, 2023-2026], Soto, Darren [D-FL9, 2017-2026], Auchincloss, Jake [D-MA4, 2021-2026], Bacon, Don [R-NE2, 2017-2026], Balint, Becca [D-VT, 2023-2026], Barragán, Nanette [D-CA44, 2017-2026], Bishop, Sanford [D-GA2, 1993-2026], Boyle, Brendan [D-PA2, 2019-2026], Carbajal, Salud [D-CA24, 2017-2026], Carson, André [D-IN7, 2008-2026], Carter, Troy [D-LA2, 2021-2026], Cherfilus-McCormick, Sheila [D-FL20, 2022-2026], Clarke, Yvette [D-NY9, 2013-2026], Cohen, Steve [D-TN9, 2007-2026], Costa, Jim [D-CA21, 2023-2026], Crockett, Jasmine [D-TX30, 2023-2026], Cárdenas, Tony [D-CA29, 2013-2024], Davis, Danny [D-IL7, 1997-2026], Espaillat, Adriano [D-NY13, 2017-2026], Fitzpatrick, Brian [R-PA1, 2019-2026], Frankel, Lois [D-FL22, 2023-2026], Garcia, Sylvia [D-TX29, 2019-2026], Gottheimer, Josh [D-NJ5, 2017-2026], Green, Al [D-TX9, 2005-2026], Jackson Lee, Sheila [D-TX18, 1995-2024], Kean, Thomas [R-NJ7, 2023-2026], Keating, William R. [D-MA9, 2013-2026], Kuster, Ann [D-NH2, 2013-2024], Kustoff, David [R-TN8, 2017-2026], Lee, Barbara [D-CA12, 2023-2024], Manning, Kathy [D-NC6, 2021-2024], Moskowitz, Jared [D-FL23, 2023-2026], Nadler, Jerrold [D-NY12, 2023-2026], Nickel, Wiley [D-NC13, 2023-2024], Norton, Eleanor [D-DC, 1991-2026], Pallone, Frank [D-NJ6, 1993-2026], Panetta, Jimmy [D-CA19, 2023-2026], Peters, Scott [D-CA50, 2023-2026], Porter, Katie [D-CA47, 2023-2024], Salazar, Maria [R-FL27, 2021-2026], Schakowsky, Janice “Jan” [D-IL9, 1999-2026], Schiff, Adam [D-CA30, 2023-2024], Scott, David [D-GA13, 2003-2026], Sherman, Brad [D-CA32, 2023-2026], Stevens, Haley [D-MI11, 2019-2026], Tokuda, Jill [D-HI2, 2023-2026], Tonko, Paul [D-NY20, 2013-2026], Trone, David [D-MD6, 2019-2024], Wasserman Schultz, Debbie [D-FL25, 2023-2026], Watson Coleman, Bonnie [D-NJ12, 2015-2026], Williams, Nikema [D-GA5, 2021-2026], Raskin, Jamie [D-MD8, 2017-2026], Sherrill, Mikie [D-NJ11, 2019-2026], Evans, Dwight [D-PA3, 2019-2026], Allred, Colin [D-TX32, 2019-2024], Casar, Gregorio [D-TX35, 2023-2026], Wilson, Frederica [D-FL24, 2013-2026], Brown, Shontel [D-OH11, 2021-2026], Lawler, Michael [R-NY17, 2023-2026], Phillips, Dean [D-MN3, 2019-2024]","May 9, 2023 118 th Congress (2023–2025)","Introduced (May 09, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres380,"House Natural Resources, ↪, Federal Lands",,Agreed To (Simple Resolution),"Apr 20, 2023",", S.Res. 167","Arts, Culture, Religion"
HRES381,"H.Res. 381 (118th): Supporting the mission and goals of National Fentanyl Awareness Day in 2023, including increasing individual and public awareness of the impact of fake or counterfeit fentanyl pills on families and young people.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",David Trone,Cosponsors,"Trone, David [D-MD6, 2019-2024], Carter, Troy [D-LA2, 2021-2026], Trahan, Lori [D-MA3, 2019-2026], Moskowitz, Jared [D-FL23, 2023-2026], Bacon, Don [R-NE2, 2017-2026], Carbajal, Salud [D-CA24, 2017-2026], Dean, Madeleine [D-PA4, 2019-2026], Fitzpatrick, Brian [R-PA1, 2019-2026], Krishnamoorthi, Raja [D-IL8, 2017-2026], Kuster, Ann [D-NH2, 2013-2024], Lee, Susie [D-NV3, 2019-2026], McClain, Lisa [R-MI9, 2023-2026], Norcross, Donald [D-NJ1, 2014-2026], Panetta, Jimmy [D-CA19, 2023-2026], Pappas, Chris [D-NH1, 2019-2026], Pettersen, Brittany [D-CO7, 2023-2026], Sorensen, Eric [D-IL17, 2023-2026], Sánchez, Linda [D-CA38, 2013-2026], Allred, Colin [D-TX32, 2019-2024], Lamborn, Doug [R-CO5, 2007-2024], Newhouse, Dan [R-WA4, 2015-2026], Ruppersberger, A. Dutch [D-MD2, 2003-2024], Titus, Dina [D-NV1, 2013-2026], Craig, Angie [D-MN2, 2019-2026], De La Cruz, Mónica [R-TX15, 2023-2026], Keating, William R. [D-MA9, 2013-2026], Green, Al [D-TX9, 2005-2026]","May 9, 2023 118 th Congress (2023–2025)","Introduced (May 09, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres381,"House Energy and Commerce, ↪, Health",,Agreed To (Simple Resolution),"May 15, 2024",", S.Res. 692","Health, Commemorative events and holidays, Drug trafficking and controlled substances, Drug, alcohol, tobacco use"
HRES382,H.Res. 382 (118th): Recognizing the significance of Jewish American Heritage Month as a time to celebrate the contributions of Jewish Americans to the society and culture of the United States.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Debbie Wasserman Schultz,Cosponsors,"Wasserman Schultz, Debbie [D-FL25, 2023-2026], Raskin, Jamie [D-MD8, 2017-2026], Balint, Becca [D-VT, 2023-2026], Goldman, Dan [D-NY10, 2023-2026], Moskowitz, Jared [D-FL23, 2023-2026], Nadler, Jerrold [D-NY12, 2023-2026], Van Drew, Jefferson [R-NJ2, 2019-2026], McBath, Lucy [D-GA7, 2023-2024], Swalwell, Eric [D-CA14, 2023-2026], Johnson, Henry C. “Hank” [D-GA4, 2007-2026], Lieu, Ted [D-CA36, 2023-2026], Lofgren, Zoe [D-CA18, 2023-2026], Auchincloss, Jake [D-MA4, 2021-2026], Balderson, Troy [R-OH12, 2018-2026], Bonamici, Suzanne [D-OR1, 2012-2026], Costa, Jim [D-CA21, 2023-2026], Fitzpatrick, Brian [R-PA1, 2019-2026], Frankel, Lois [D-FL22, 2023-2026], Gottheimer, Josh [D-NJ5, 2017-2026], Jeffries, Hakeem [D-NY8, 2013-2026], Johnson, Bill [R-OH6, 2011-2024], Kiggans, Jennifer [R-VA2, 2023-2026], Kustoff, David [R-TN8, 2017-2026], Lamborn, Doug [R-CO5, 2007-2024], Landsman, Greg [D-OH1, 2023-2026], Levin, Mike [D-CA49, 2019-2026], Magaziner, Seth [D-RI2, 2023-2026], Manning, Kathy [D-NC6, 2021-2024], Mast, Brian [R-FL21, 2023-2026], Miller, Max [R-OH7, 2023-2026], Norton, Eleanor [D-DC, 1991-2026], Phillips, Dean [D-MN3, 2019-2024], Schakowsky, Janice “Jan” [D-IL9, 1999-2026], Schiff, Adam [D-CA30, 2023-2024], Schneider, Bradley “Brad” [D-IL10, 2017-2026], Slotkin, Elissa [D-MI7, 2023-2024], Watson Coleman, Bonnie [D-NJ12, 2015-2026], Weber, Randy [R-TX14, 2013-2026], Wild, Susan [D-PA7, 2019-2024], Williams, Nikema [D-GA5, 2021-2026], Allred, Colin [D-TX32, 2019-2024], Barragán, Nanette [D-CA44, 2017-2026], Bilirakis, Gus [R-FL12, 2013-2026], Boyle, Brendan [D-PA2, 2019-2026], Buchanan, Vern [R-FL16, 2013-2026], Burchett, Tim [R-TN2, 2019-2026], Carbajal, Salud [D-CA24, 2017-2026], Clarke, Yvette [D-NY9, 2013-2026], Fleischmann, Charles “Chuck” [R-TN3, 2011-2026], Garcia, Sylvia [D-TX29, 2019-2026], Latta, Robert [R-OH5, 2007-2026], Lawler, Michael [R-NY17, 2023-2026], Mace, Nancy [R-SC1, 2021-2026], Moore, Blake [R-UT1, 2021-2026], Norcross, Donald [D-NJ1, 2014-2026], Payne, Donald [D-NJ10, 2012-2024], Salazar, Maria [R-FL27, 2021-2026], Sánchez, Linda [D-CA38, 2013-2026], Brown, Shontel [D-OH11, 2021-2026], Casar, Gregorio [D-TX35, 2023-2026], Cárdenas, Tony [D-CA29, 2013-2024], Davis, Donald [D-NC1, 2023-2026], DelBene, Suzan [D-WA1, 2012-2026], Estes, Ron [R-KS4, 2017-2026], Gimenez, Carlos [R-FL28, 2023-2026], Green, Al [D-TX9, 2005-2026], Kim, Young [R-CA40, 2023-2026], Krishnamoorthi, Raja [D-IL8, 2017-2026], Meng, Grace [D-NY6, 2013-2026], Mullin, Kevin [D-CA15, 2023-2026], Nickel, Wiley [D-NC13, 2023-2024], Spanberger, Abigail [D-VA7, 2019-2024], Stevens, Haley [D-MI11, 2019-2026], Titus, Dina [D-NV1, 2013-2026], Tonko, Paul [D-NY20, 2013-2026], Wilson, Frederica [D-FL24, 2013-2026], Carter, Earl “Buddy” [R-GA1, 2015-2026], Craig, Angie [D-MN2, 2019-2026], DeSaulnier, Mark [D-CA10, 2023-2026], Fletcher, Lizzie [D-TX7, 2019-2026], Hayes, Jahana [D-CT5, 2019-2026], Jackson, Jeffrey [D-NC14, 2023-2024], Lee, Susie [D-NV3, 2019-2026], Peters, Scott [D-CA50, 2023-2026], Sherrill, Mikie [D-NJ11, 2019-2026], Bacon, Don [R-NE2, 2017-2026], Kim, Andy [D-NJ3, 2019-2024], Menendez, Robert Jacobsen [D-NJ8, 2023-2026], Trone, David [D-MD6, 2019-2024], Bice, Stephanie [R-OK5, 2021-2026], Garbarino, Andrew [R-NY2, 2021-2026], Porter, Katie [D-CA47, 2023-2024], Thanedar, Shri [D-MI13, 2023-2026]","May 9, 2023 118 th Congress (2023–2025)","Agreed To (May 31, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres382,House Judiciary,House Vote on Passage,"On Motion to Suspend the Rules and Agree, as Amended","May 31, 2023 4:37 p.m.",", S.Res. 203","Arts, Culture, Religion, Commemorative events and holidays, Congressional tributes, Religion"
HRES383,"H.Res. 383 (118th): Providing for consideration of the bill (H.R. 2) to secure the borders of the United States, and for other purposes, and providing for consideration of the bill (H.R. 1163) to provide incentives for States to recover fraudulently paid Federal and State unemployment compensation, and for other purposes.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Chip Roy,N/A,"Roy, Chip [R-TX21, 2019-2026]","May 10, 2023 118 th Congress (2023–2025)","Introduced (May 10, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres383,House Rules,On Ordering the Previous Question: H.Res. 383: Providing for consideration of the bill (H.R. 2) to secure the borders of …,"May 10, 2023 5:50 p.m.",Passed 215/211,", H.R. 1163","Congress, Legislative rules and procedure"
HRES384,H.Res. 384 (118th): Expressing support for the designation of May 2023 as Motorcycle Safety Awareness Month.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Michael Burgess,Cosponsors,"Burgess, Michael [R-TX26, 2003-2024], Bost, Mike [R-IL12, 2015-2026], Brownley, Julia [D-CA26, 2013-2026], Johnson, Dusty [R-SD, 2019-2026], Pappas, Chris [D-NH1, 2019-2026], Stauber, Pete [R-MN8, 2019-2026], Bacon, Don [R-NE2, 2017-2026], Balderson, Troy [R-OH12, 2018-2026], Banks, Jim [R-IN3, 2017-2024], Craig, Angie [D-MN2, 2019-2026], Curtis, John [R-UT3, 2017-2024], Gosar, Paul [R-AZ9, 2023-2026], Grothman, Glenn [R-WI6, 2015-2026], Harris, Andy [R-MD1, 2011-2026], Johnson, Mike [R-LA4, 2017-2026], Lamborn, Doug [R-CO5, 2007-2024], Miller-Meeks, Mariannette [R-IA1, 2023-2026], Norcross, Donald [D-NJ1, 2014-2026], Norman, Ralph [R-SC5, 2017-2026], Stevens, Haley [D-MI11, 2019-2026], Thompson, Glenn [R-PA15, 2019-2026], Walberg, Tim [R-MI5, 2023-2026], Waltz, Michael [R-FL6, 2019-2025], Wilson, Joe [R-SC2, 2001-2026]","May 10, 2023 118 th Congress (2023–2025)","Companion Bill —
								
								Agreed To (Jun 01, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres384,"House Transportation and Infrastructure, ↪, Highways and Transit",,Introduced,"Last Action: Apr 29, 2024",", H.Res. 1179",Transportation and Public Works
HRES385,"H.Res. 385 (118th): Supporting the designation of May 10, 2023, as “National Asian American, Native Hawaiian, and Pacific Islander Mental Health Day”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Judy Chu,Cosponsors,"Chu, Judy [D-CA28, 2023-2026], Matsui, Doris [D-CA7, 2023-2026], Mullin, Kevin [D-CA15, 2023-2026], Peters, Scott [D-CA50, 2023-2026], Schakowsky, Janice “Jan” [D-IL9, 1999-2026], Bera, Ami [D-CA6, 2023-2026], Bowman, Jamaal [D-NY16, 2021-2024], Case, Ed [D-HI1, 2019-2026], DeSaulnier, Mark [D-CA10, 2023-2026], DelBene, Suzan [D-WA1, 2012-2026], Jayapal, Pramila [D-WA7, 2017-2026], Kamlager-Dove, Sydney [D-CA37, 2023-2026], Kim, Andy [D-NJ3, 2019-2024], Krishnamoorthi, Raja [D-IL8, 2017-2026], Lee, Barbara [D-CA12, 2023-2024], Lee, Susie [D-NV3, 2019-2026], Meng, Grace [D-NY6, 2013-2026], Napolitano, Grace [D-CA31, 2023-2024], Panetta, Jimmy [D-CA19, 2023-2026], Sablan, Gregorio [D-MP, 2009-2024], Scott, Robert “Bobby” [D-VA3, 1993-2026], Strickland, Marilyn [D-WA10, 2021-2026], Sánchez, Linda [D-CA38, 2013-2026], Takano, Mark [D-CA39, 2023-2026], Tokuda, Jill [D-HI2, 2023-2026], Trone, David [D-MD6, 2019-2024], Watson Coleman, Bonnie [D-NJ12, 2015-2026]","May 10, 2023 118 th Congress (2023–2025)","Introduced (May 10, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres385,"House Energy and Commerce, ↪, Health",,Introduced,"Last Action: May 10, 2024",", H.Res. 1217","Health, Alaska Natives and Hawaiians, Commemorative events and holidays, Health promotion and preventive care, show 2 more, Mental health, Minority health, show less"
HRES386,H.Res. 386 (118th): Expressing support for the designation of May as “National Asthma and Allergy Awareness Month”.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Debbie Dingell,Cosponsors,"Dingell, Debbie [D-MI6, 2023-2026], Valadao, David [R-CA22, 2023-2026]","May 10, 2023 118 th Congress (2023–2025)","Introduced (May 10, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres386,House Oversight and Government Reform,Health,N/A,N/A,N/A,Health
HRES387,"H.Res. 387 (118th): Expressing support for the designation of June 10, 2023, as “Veterans Get Outside Day”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Garret Graves,Cosponsors,"Graves, Garret [R-LA6, 2015-2024], Moulton, Seth [D-MA6, 2015-2026], Trone, David [D-MD6, 2019-2024]","May 10, 2023 118 th Congress (2023–2025)","Introduced (May 10, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hres387,House Oversight and Government Reform,,Agreed To (Simple Resolution),"May 31, 2023",", S.Res. 206","Armed Forces and National Security, Commemorative events and holidays, Community life and organization, Veterans' education, employment, rehabilitation"
